,,,,,,,,MEDIAN PRICE,,MEDIAN QUARTERLY,,MEDIAN 12 MONTH,,MEDIAN 3 YEARS,,MEDIAN 5 YEARS,,10 YEARS AVERAGE ANNUAL,,Weekly media advert. rent,,Time on Market,,Gross Rental Yield Percent,,,,,,,,,,,
SUBURBS,STATE,POSTCODE,,,DISTANCE FROM CBD (KM),POPULATION,5 YEAR CHANGE,HOUSE,UNIT,HOUSE,UNIT,HOUSE,UNIT,HOUSE,UNIT,HOUSE,UNIT,HOUSE,UNIT,HOUSE,UNIT,HOUSE,HOUSE,HOUSE,HOUSE,WEEKLY HOUSEHOLD INCOME MEDIAN,WEEKLY GROSS HOUSEHOLD INCOME MEAN,WEEKLY NET MEAN INCOME,HHOLD SIZE,OCCUPATION,AGE,MONTHLY LOAN REPAYMENT,20% Deposit,Current Savings Rate,Numbers of years (Based on Savings Rate)
Karoonda,SA,5307,https://www.smartpropertyinvestment.com.au/data/sa/5307/karoonda,,,,,"$240,000",,6.67%,,-8.57%,,69.91%,,0.00%,,6.58%,,N/A,,N/A,,0.00%,,794,$816,$725,2.3,0.0%,52,686,"$48,000","$3,772",13
Mendooran,NSW,2842,,,304,626,12.00%,"$240,000",,0.00%,,0.00%,,50.00%,,0.00%,,1.59%,,N/A,,N/A,N/A,0.00%,0.00%,807,$967,$835,2.4,0.0%,48,867,"$48,000","$4,340",11
Karumba,QLD,4891,,,"1,670",487,8.00%,"$240,000",,8.11%,,0.00%,,33.33%,,0.00%,,26.16%,,N/A,,N/A,N/A,0.00%,0.00%,601.9,"$1,106",$929,2.1,50.0%,48,1005,"$48,000","$4,833",10
Longreach,QLD,4730,,,990,"3,000",5.00%,"$240,000",,0.00%,N/A,-3.03%,N/A,1.05%,N/A,50.00%,N/A,1.57%,N/A,$340,,88.1 days,88.1 days,7.37%,7.37%,1025,"$1,237","$1,018",2.5,,33,910,"$48,000","$5,296",9
Springsure,QLD,4722,,,623,950,14.00%,"$240,000",,7.87%,N/A,11.63%,N/A,10.34%,N/A,0.00%,N/A,-5.26%,N/A,N/A,,N/A,N/A,0.00%,0.00%,1068,"$1,340","$1,088",2.3,46.0%,36,650,"$48,000","$5,659",8
Dumbleyung,WA,6350,https://www.smartpropertyinvestment.com.au/data/wa/6350/dumbleyung,,,,,"$240,000",,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,N/A,,39.4 days,,0.00%,,944,"$1,433","$1,152",2,0.0%,49,504,"$48,000","$5,989",8
Corrigin,WA,6375,https://www.smartpropertyinvestment.com.au/data/wa/6375/corrigin,,,,,"$240,000",,3.34%,,17.07%,,26.32%,,134.15%,,11.38%,,N/A,,64.1 days,,0.00%,,1276,"$1,484","$1,186",2.2,0.0%,44,1000,"$48,000","$6,169",8
Whyalla Norrie,SA,5608,https://www.smartpropertyinvestment.com.au/data/sa/5608/whyalla-norrie,,,,,"$241,000",,8.80%,,12.09%,,50.63%,,60.67%,,3.30%,,$300,,63.3 days,,6.47%,,809,"$1,208",$999,2.2,22.0%,39,1083,"$48,200","$5,194",9
Kalbarri,WA,6536,https://www.smartpropertyinvestment.com.au/data/wa/6536/kalbarri,,,,,"$243,500",,29.35%,,-28.38%,,-28.38%,,-11.45%,,-2.36%,,N/A,,76.8 days,,0.00%,,902,"$1,163",$968,2.1,24.4%,51,1628,"$48,700","$5,034",10
Mornington,QLD,4825,,,"1,563","2,000",5.00%,"$247,000",,-8.86%,N/A,11.01%,N/A,-25.94%,N/A,-14.83%,N/A,-1.44%,N/A,$380,,100.7 days,100.7 days,8.00%,8.00%,1253,"$1,615","$1,276",2.3,,32,1101,"$49,400","$6,633",7
Inglewood,QLD,4387,,,217,936,2.00%,"$248,000",,5.53%,N/A,7.83%,N/A,27.18%,N/A,79.06%,N/A,10.62%,N/A,N/A,,N/A,N/A,0.00%,0.00%,696.2,$912,$797,2.3,,42,700,"$49,600","$4,145",12
Thevenard,SA,5690,https://www.smartpropertyinvestment.com.au/data/sa/5690/thevenard,,,,,"$248,500",,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,N/A,,N/A,,0.00%,,1239,"$1,255","$1,031",2.5,0.0%,38,1281,"$49,700","$5,361",9
Nangwarry,SA,5277,https://www.smartpropertyinvestment.com.au/data/sa/5277/nangwarry,,,,,"$249,000",,0.00%,,0.00%,,133.26%,,122.32%,,11.82%,,N/A,,N/A,,0.00%,,1077,"$1,098",$924,2.3,0.0%,44,867,"$49,800","$4,802",10
Barraba,NSW,2347,,,391,"1,000",6.00%,"$250,000",,0.00%,N/A,4.17%,N/A,21.95%,N/A,92.31%,N/A,7.98%,N/A,N/A,,N/A,N/A,0.00%,0.00%,746,$853,$755,2.1,11.1%,53,650,"$50,000","$3,927",13
Coleraine,VIC,3315,,,289,"1,000",3.00%,"$250,000",,-5.66%,N/A,2.04%,N/A,3.09%,N/A,67.79%,N/A,12.39%,N/A,N/A,,N/A,N/A,0.00%,0.00%,895,$925,$806,2.2,14.1%,50,650,"$50,000","$4,191",12
Edenhope,VIC,3318,,,333,937,1.00%,"$250,000",,0.00%,N/A,-3.85%,N/A,14.94%,N/A,53.61%,N/A,10.02%,N/A,N/A,,N/A,N/A,0.00%,0.00%,940,"$1,022",$872,2.1,0.0%,50,723,"$50,000","$4,534",11
Lismore,VIC,3324,,,142,472,12.00%,"$250,000",,0.00%,,0.00%,,-14.53%,,0.00%,,36.91%,,N/A,,77.1 days,77.1 days,0.00%,0.00%,795,"$1,027",$875,2.2,,52,666,"$50,000","$4,552",11
Condobolin,NSW,2877,,,407,"3,000",9.00%,"$250,000",,-7.41%,N/A,-8.51%,N/A,11.61%,N/A,42.86%,N/A,5.47%,N/A,$300,,117 days,117 days,6.24%,6.24%,1016,"$1,063",$900,2.4,9.7%,38,939,"$50,000","$4,680",11
Gladstone,SA,5473,https://www.smartpropertyinvestment.com.au/data/sa/5473/gladstone,,,,,"$250,000",,0.00%,,14.94%,,47.06%,,0.00%,,16.06%,,N/A,,66.3 days,,0.00%,,841,"$1,097",$923,2.3,,48,626,"$50,000","$4,800",10
Blackall,QLD,4472,,,812,"1,000",4.00%,"$250,000",,9.29%,N/A,25.00%,N/A,75.44%,N/A,233.33%,N/A,17.94%,N/A,$300,,52.3 days,52.3 days,6.24%,6.24%,666.4,"$1,104",$928,2.3,2.6%,42,477,"$50,000","$4,824",10
Nhill,VIC,3418,,,343,"2,000",10.00%,"$250,000",,-1.96%,N/A,-5.66%,N/A,35.14%,N/A,122.22%,N/A,9.83%,N/A,$310,,76.2 days,76.2 days,6.45%,6.45%,1004,"$1,146",$956,2.3,2.2%,47,850,"$50,000","$4,972",10
Trangie,NSW,2823,,,,,,"$250,000",,4.17%,N/A,4.17%,N/A,38.89%,N/A,49.25%,N/A,11.04%,N/A,N/A,,N/A,N/A,0.00%,0.00%,1037,"$1,237","$1,018",2.3,4.3%,44,758,"$50,000","$5,294",9
Derby,WA,6728,https://www.smartpropertyinvestment.com.au/data/wa/6728/derby,,,,,"$250,000",,9.89%,,19.05%,,-11.97%,,60.51%,,2.49%,,$430,,99 days,,8.94%,,1299,"$1,297","$1,059",3,,30,1733,"$50,000","$5,508",9
Dowerin,WA,6461,https://www.smartpropertyinvestment.com.au/data/wa/6461/dowerin,,,,,"$250,000",,0.00%,,0.00%,,79.86%,,0.00%,,2.16%,,N/A,,N/A,,0.00%,,1109,"$1,606","$1,269",2.3,0.0%,44,867,"$50,000","$6,599",8
Hillston,NSW,2675,,,539,"2,000",6.00%,"$251,000",,0.40%,N/A,-12.70%,N/A,-5.28%,N/A,118.26%,N/A,12.01%,N/A,N/A,,N/A,N/A,0.00%,0.00%,1239,"$1,071",$905,2.4,5.6%,39,910,"$50,200","$4,708",11
Dimboola,VIC,3414,,,303,"2,000",6.00%,"$252,500",,-0.98%,N/A,6.32%,N/A,25.59%,N/A,106.12%,N/A,11.20%,N/A,$350,,88.3 days,88.3 days,7.21%,7.21%,887,"$1,208",$999,2.1,0.0%,52,806,"$50,500","$5,194",10
Tennant Creek,NT,860,https://www.smartpropertyinvestment.com.au/data/nt/860/tennant-creek,,,,,"$253,500",,-1.36%,,-6.11%,,-2.50%,,10.22%,,1.11%,,$553,,99.8 days,,0.00%,,n.a.,"$1,300","$1,061",n.a.,9.8%,n.a.,n.a.,"$50,700","$5,518",9
Seabird,WA,6042,https://www.smartpropertyinvestment.com.au/data/wa/6042/seabird,,,,,"$255,000",,-5.56%,,-37.80%,,-40.00%,,0.00%,,-10.72%,,N/A,,100.9 days,,0.00%,,687,,$651,1.7,0.0%,64,826,"$51,000","$3,386",15
Eugowra,NSW,2806,,,268,862,11.00%,"$255,000",,0.00%,N/A,-1.92%,N/A,-24.44%,N/A,4.08%,N/A,10.02%,N/A,N/A,,N/A,N/A,0.00%,0.00%,1095,$971,$837,2.3,0.0%,51,1083,"$51,000","$4,353",12
Blackwater,QLD,4717,,,616,"5,000",1.00%,"$255,000",,2.41%,$0,13.33%,$0,60.38%,$0,72.30%,$0,16.65%,$0,$440,,80.2 days,80.2 days,8.97%,8.97%,1951,"$1,868","$1,447",2.9,48.4%,29,1083,"$51,000","$7,525",7
Ravensthorpe,WA,6346,https://www.smartpropertyinvestment.com.au/data/wa/6346/ravensthorpe,,,,,"$256,500",,1.99%,,26.67%,,51.33%,,0.00%,,11.90%,,$385,,108.4 days,,7.81%,,1312,"$1,718","$1,345",2.3,0.0%,43,1000,"$51,300","$6,995",7
Yeoval,NSW,2868,,,273,330,23.00%,"$260,000",,1.96%,,0.00%,,26.21%,,0.00%,,0.00%,,N/A,,N/A,N/A,0.00%,0.00%,982,$827,$734,2.3,0.0%,46,867,"$52,000","$3,815",14
Gilgandra,NSW,2827,,,,,,"$260,000",,-10.65%,N/A,-3.70%,N/A,18.18%,N/A,62.50%,N/A,5.44%,N/A,$350,,N/A,N/A,7.00%,7.00%,970,"$1,013",$866,2.3,0.0%,45,1083,"$52,000","$4,502",12
Charlton,VIC,3525,,,224,"1,000",4.00%,"$260,000",,-0.95%,N/A,-16.13%,N/A,18.18%,N/A,81.82%,N/A,7.83%,N/A,N/A,,105.6 days,105.6 days,0.00%,0.00%,772,"$1,014",$867,2.1,,54,800,"$52,000","$4,508",12
Port Wakefield,SA,5550,https://www.smartpropertyinvestment.com.au/data/sa/5550/port-wakefield,,,,,"$260,000",,-1.89%,,-18.88%,,30.00%,,81.82%,,10.63%,,N/A,,N/A,,0.00%,,987,"$1,055",$894,2.3,0.0%,40,867,"$52,000","$4,651",11
Morgantown,WA,6701,https://www.smartpropertyinvestment.com.au/data/wa/6701/morgantown,,,,,"$260,000",,-5.45%,,4.00%,,0.00%,,108.00%,,22.28%,,N/A,,68 days,,0.00%,,1258,"$1,243","$1,023",2.4,0.0%,39,1517,"$52,000","$5,318",10
Myalup,WA,6220,https://www.smartpropertyinvestment.com.au/data/wa/6220/myalup,,,,,"$260,000",,0.00%,,-37.36%,,-31.22%,,0.00%,,-9.53%,,N/A,,43.8 days,,0.00%,,1213,"$1,297","$1,059",2.5,0.0%,43,1729,"$52,000","$5,508",9
Brookton,WA,6306,https://www.smartpropertyinvestment.com.au/data/wa/6306/brookton,,,,,"$260,000",,-11.86%,,-7.14%,,50.72%,,0.00%,,12.72%,,N/A,,39.9 days,,0.00%,,1133,"$1,332","$1,083",2.3,0.0%,47,1083,"$52,000","$5,631",9
Cobar,NSW,2835,,,571,"4,000",10.00%,"$260,000",,5.69%,N/A,23.81%,N/A,37.20%,N/A,85.71%,N/A,3.31%,N/A,$340,,80.7 days,80.7 days,6.80%,6.80%,1628,"$1,408","$1,135",2.4,36.1%,35,1304,"$52,000","$5,901",9
Jandowae,QLD,4410,,,201,"1,000",4.00%,"$261,000",,8.98%,N/A,20.28%,N/A,45.00%,N/A,95.51%,N/A,7.74%,N/A,N/A,,N/A,N/A,0.00%,0.00%,601.2,$994,$853,2.3,0.0%,47,633,"$52,200","$4,437",12
Mount Morgan,QLD,4714,,,,,,"$261,000",,4.40%,N/A,21.40%,N/A,76.95%,N/A,161.00%,N/A,10.10%,N/A,$415,,60.3 days,60.3 days,8.27%,8.27%,481.6,"$1,122",$940,2.3,16.7%,44,455,"$52,200","$4,889",11
Nyngan,NSW,2825,,,,,,"$262,500",,11.70%,N/A,31.25%,N/A,64.06%,N/A,50.00%,N/A,9.89%,N/A,N/A,,N/A,N/A,0.00%,0.00%,1120,"$1,186",$984,2.4,15.8%,40,1083,"$52,500","$5,115",10
Northampton,WA,6535,https://www.smartpropertyinvestment.com.au/data/wa/6535/northampton,,,,,"$262,500",,16.67%,,-9.48%,,17.98%,,128.26%,,15.31%,,N/A,,55.8 days,,0.00%,,1007,"$1,308","$1,067",2.3,0.0%,52,1300,"$52,500","$5,548",9
Roxby Downs,SA,5725,https://www.smartpropertyinvestment.com.au/data/sa/5725/roxby-downs,,,,,"$262,500",,-3.85%,,-7.08%,,-5.58%,,9.15%,,-2.58%,,$350,,112.1 days,,6.93%,,2477,"$2,173","$1,655",2.7,55.7%,30,2000,"$52,500","$8,606",6
South Boulder,WA,6432,https://www.smartpropertyinvestment.com.au/data/wa/6432/south-boulder,,,,,"$263,000",,11.68%,,21.48%,,14.35%,,128.70%,,12.43%,,$520,,41.3 days,,10.28%,,1772,"$1,574","$1,248",2.5,39.5%,33,1517,"$52,600","$6,488",8
Ouyen,VIC,3490,,,390,"1,000",2.00%,"$265,000",,1.92%,N/A,41.58%,N/A,70.97%,N/A,178.95%,N/A,12.84%,N/A,$320,,51.5 days,51.5 days,6.28%,6.28%,874,"$1,049",$891,2.1,0.0%,53,800,"$53,000","$4,631",11
Sunset,QLD,4825,,,"1,563","2,000",2.00%,"$266,000",,2.31%,N/A,-4.32%,N/A,-4.83%,N/A,18.22%,N/A,1.45%,N/A,$480,,90.5 days,90.5 days,9.38%,9.38%,1719,"$1,615","$1,276",2.9,59.1%,28,1083,"$53,200","$6,633",8
Blanchetown,SA,5357,https://www.smartpropertyinvestment.com.au/data/sa/5357/blanchetown,,,,,"$267,500",,25.88%,,33.75%,,64.62%,,0.00%,,24.30%,,N/A,,112.8 days,,0.00%,,759,$918,$801,2,0.0%,52,867,"$53,500","$4,165",13
Ashford,NSW,2361,,,508,659,1.00%,"$268,000",,11.67%,,0.00%,,44.86%,,0.00%,,18.19%,,N/A,,77.7 days,77.7 days,0.00%,0.00%,795,$675,$610,2.3,,50,650,"$53,600","$3,170",17
Keith,SA,5267,https://www.smartpropertyinvestment.com.au/data/sa/5267/keith,,,,,"$268,500",,7.40%,,7.40%,,67.81%,,102.64%,,10.92%,,N/A,,45.7 days,,0.00%,,1174,"$1,056",$895,2.4,12.2%,41,867,"$53,700","$4,654",12
Yanco,NSW,2703,,,450,744,24.00%,"$270,000",,0.37%,,0.00%,,28.57%,,51.69%,,21.18%,,N/A,,N/A,N/A,0.00%,0.00%,1018,"$1,072",$906,2.3,20.0%,18,1168,"$54,000","$4,712",11
Katanning,WA,6317,https://www.smartpropertyinvestment.com.au/data/wa/6317/katanning,,,,,"$270,000",,1.89%,,6.93%,,54.29%,,66.15%,,5.68%,,$400,,81.3 days,,7.70%,,1210,"$1,175",$976,2.5,17.9%,40,1133,"$54,000","$5,075",11
Wagin,WA,6315,https://www.smartpropertyinvestment.com.au/data/wa/6315/wagin,,,,,"$270,000",,10.66%,,36.71%,,42.11%,,120.41%,,4.77%,,N/A,,54.3 days,,0.00%,,985,"$1,199",$992,2.2,9.6%,49,1000,"$54,000","$5,160",10
Bluff,QLD,4702,,,595,324,13.00%,"$270,000",,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,N/A,,N/A,N/A,0.00%,0.00%,1821,"$1,304","$1,064",2.8,0.0%,37,639,"$54,000","$5,533",10
Hargraves,NSW,2850,,,205,300,11.00%,"$270,000",,0.00%,,0.00%,,-23.94%,,0.00%,,0.00%,,N/A,,N/A,N/A,0.00%,0.00%,1229,"$1,347","$1,093",2.5,0.0%,41,1733,"$54,000","$5,685",9
Katherine,NT,850,https://www.smartpropertyinvestment.com.au/data/nt/850/katherine,,,,,"$270,000",,8.00%,,0.00%,,-11.48%,,0.00%,,10.06%,,$440,,N/A,,8.47%,,n.a.,"$1,365","$1,105",n.a.,23.1%,n.a.,n.a.,"$54,000","$5,746",9
Katherine South,NT,850,https://www.smartpropertyinvestment.com.au/data/nt/850/katherine-south,,,,,"$270,000",,8.00%,,0.00%,,-11.48%,,0.00%,,10.06%,,$440,,N/A,,8.47%,,n.a.,"$1,365","$1,105",n.a.,0.0%,n.a.,n.a.,"$54,000","$5,746",9
Clermont,QLD,4721,,,770,"3,000",3.00%,"$270,000",,0.00%,$0,-3.57%,$0,12.50%,$0,31.71%,$0,1.09%,$0,$400,,120.3 days,120.3 days,7.70%,7.70%,1078,"$1,404","$1,132",2.5,22.7%,36,975,"$54,000","$5,887",9
Khancoban,NSW,2642,,,385,319,5.00%,"$270,500",,-9.83%,N/A,-0.55%,N/A,15.11%,N/A,0.00%,N/A,21.42%,N/A,N/A,,N/A,N/A,0.00%,0.00%,1358,"$1,163",$968,2.7,37.5%,42,1300,"$54,100","$5,032",11
Lake Grace,WA,6353,https://www.smartpropertyinvestment.com.au/data/wa/6353/lake-grace,,,,,"$271,500",,6.47%,,0.00%,,59.71%,,0.00%,,19.74%,,N/A,,N/A,,0.00%,,1410,"$1,498","$1,196",2.4,14.8%,41,1170,"$54,300","$6,217",9
Townview,QLD,4825,,,"1,562","2,000",,"$272,500",,0.93%,N/A,4.81%,N/A,-4.39%,N/A,17.20%,N/A,0.72%,N/A,$450,,92.2 days,92.2 days,8.59%,8.59%,1501,"$1,615","$1,276",2.7,66.0%,29,1192,"$54,500","$6,633",8
Laura,SA,5480,https://www.smartpropertyinvestment.com.au/data/sa/5480/laura,,,,,"$275,000",,5.77%,,-2.14%,,9.34%,,0.00%,,15.07%,,N/A,,80.7 days,,0.00%,,1004,"$1,073",$907,2.2,,50,964,"$55,000","$4,717",12
Murtoa,VIC,3390,,,258,897,4.00%,"$275,000",,-19.12%,N/A,0.00%,N/A,25.00%,N/A,120.00%,N/A,12.92%,N/A,N/A,,91.9 days,91.9 days,0.00%,0.00%,915,"$1,168",$971,2.3,5.6%,47,780,"$55,000","$5,050",11
Home Hill,QLD,4806,,,,,,"$275,000",,0.55%,N/A,23.60%,N/A,52.78%,N/A,129.17%,N/A,5.25%,N/A,$320,,70.4 days,70.4 days,6.05%,6.05%,763.4,"$1,201",$994,2.4,19.3%,41,748,"$55,000","$5,167",11
Queenton,QLD,4820,,,"1,071","1,000",4.00%,"$275,000",,14.58%,N/A,25.00%,N/A,23.60%,N/A,129.17%,N/A,6.62%,N/A,N/A,,78 days,78 days,0.00%,0.00%,736.3,"$1,240","$1,020",2.5,20.0%,32,901,"$55,000","$5,305",10
Happy Valley,QLD,4825,,,,,,"$275,000",,0.55%,N/A,1.85%,N/A,-12.70%,N/A,0.00%,N/A,-4.04%,N/A,$495,,102.8 days,102.8 days,9.36%,9.36%,1758,"$1,615","$1,276",3.1,,27,1181,"$55,000","$6,633",8
Cunderdin,WA,6407,https://www.smartpropertyinvestment.com.au/data/wa/6407/cunderdin,,,,,"$277,500",,8.82%,,24.86%,,58.57%,,107.87%,,11.55%,,N/A,,85.5 days,,0.00%,,1331,"$1,433","$1,151",2.5,14.3%,36,1000,"$55,500","$5,987",9
Berrigan,NSW,2712,,,,,,"$278,500",,-19.28%,N/A,-21.55%,N/A,39.25%,N/A,63.34%,N/A,10.36%,N/A,N/A,,163.2 days,163.2 days,0.00%,0.00%,908,"$1,004",$860,2.2,0.0%,51,943,"$55,700","$4,472",12
Donald,VIC,3480,,,242,"1,000",2.00%,"$280,000",,0.00%,N/A,20.43%,N/A,36.59%,N/A,93.10%,N/A,8.71%,N/A,$320,,92.8 days,92.8 days,5.94%,5.94%,895,"$1,030",$877,2.2,11.7%,52,780,"$56,000","$4,562",12
Cleve,SA,5640,https://www.smartpropertyinvestment.com.au/data/sa/5640/cleve,,,,,"$280,000",,-4.44%,,12.00%,,27.27%,,0.00%,,28.88%,,$345,,120.3 days,,6.41%,,1071,"$1,224","$1,009",2.1,16.7%,47,867,"$56,000","$5,249",11
Ceduna,SA,5690,https://www.smartpropertyinvestment.com.au/data/sa/5690/ceduna,,,,,"$280,000",,8.74%,,5.66%,,-0.18%,,7.69%,,1.88%,,N/A,,118.3 days,,0.00%,,1239,"$1,255","$1,031",2.5,0.0%,38,1281,"$56,000","$5,361",10
Depot Hill,QLD,4700,,,,,,"$280,000",,6.46%,N/A,22.27%,N/A,63.27%,N/A,124.00%,N/A,8.67%,N/A,$420,,35.8 days,35.8 days,7.80%,7.80%,614.4,"$1,400","$1,129",2.4,0.0%,34,663,"$56,000","$5,870",10
Charters Towers City,QLD,4820,,,,,,"$280,500",,12.20%,N/A,18.11%,N/A,40.25%,N/A,164.62%,N/A,9.78%,N/A,$370,,79.8 days,79.8 days,6.86%,6.86%,n.a.,"$1,240","$1,020",n.a.,62.5%,n.a.,n.a.,"$56,100","$5,305",11
Quorn,SA,5433,https://www.smartpropertyinvestment.com.au/data/sa/5433/quorn,,,,,"$282,000",,-1.91%,,12.80%,,88.00%,,61.14%,,3.53%,,N/A,,87.5 days,,0.00%,,910,"$1,145",$956,2.1,14.7%,51,1000,"$56,400","$4,970",11
Brandon,QLD,4808,,,"1,054","1,000",1.00%,"$282,000",,-5.21%,N/A,22.61%,N/A,12.80%,N/A,93.15%,N/A,9.05%,N/A,N/A,,72.7 days,72.7 days,0.00%,0.00%,827.9,"$1,193",$989,2.5,12.2%,42,867,"$56,400","$5,140",11
Ingham,QLD,4850,,,"1,206","4,000",1.00%,"$282,500",,8.65%,$0,15.31%,$0,28.41%,$0,85.25%,$0,4.17%,$0,$380,,76.9 days,76.9 days,6.99%,6.99%,667.2,"$1,104",$928,2.4,19.0%,43,750,"$56,500","$4,826",12
Nulsen,WA,6450,https://www.smartpropertyinvestment.com.au/data/wa/6450/nulsen,,,,,"$282,500",,2.73%,,4.63%,,41.25%,,224.71%,,7.24%,,N/A,,72.5 days,,0.00%,,1349,"$1,414","$1,138",2.5,50.0%,40,1721,"$56,500","$5,920",10
Jerilderie,NSW,2716,,,,,,"$284,000",,3.65%,N/A,5.97%,N/A,53.51%,N/A,136.67%,N/A,12.44%,N/A,N/A,,N/A,N/A,0.00%,0.00%,1129,"$1,093",$921,2.3,0.0%,47,789,"$56,800","$4,787",12
Boort,VIC,3537,,,217,940,8.00%,"$284,500",,5.37%,N/A,1.61%,N/A,26.44%,N/A,49.74%,N/A,3.54%,N/A,N/A,,72.7 days,72.7 days,0.00%,0.00%,940,$998,$856,2.2,0.0%,53,758,"$56,900","$4,451",13
Emmaville,NSW,2371,,,,,,"$285,000",,-3.39%,N/A,-8.80%,N/A,29.55%,N/A,0.00%,N/A,11.92%,N/A,N/A,,N/A,N/A,0.00%,0.00%,725,$746,$668,2.1,0.0%,55,867,"$57,000","$3,472",16
Boggabri,NSW,2382,,,368,"1,000",7.00%,"$285,000",,9.62%,N/A,-9.52%,N/A,14.00%,N/A,58.33%,N/A,3.69%,N/A,$400,,103 days,103 days,7.30%,7.30%,1180,"$1,126",$943,2.4,5.3%,42,1255,"$57,000","$4,903",12
Brockman,WA,6701,https://www.smartpropertyinvestment.com.au/data/wa/6701/brockman,,,,,"$285,000",,0.00%,,-6.56%,,14.00%,,0.00%,,0.95%,,$550,,130.3 days,,0.00%,,1258,"$1,243","$1,023",2.4,0.0%,39,1517,"$57,000","$5,318",11
Wongan Hills,WA,6603,https://www.smartpropertyinvestment.com.au/data/wa/6603/wongan-hills,,,,,"$285,000",,11.11%,,36.69%,,50.40%,,128.00%,,13.50%,,N/A,,59.3 days,,0.00%,,1286,"$1,451","$1,164",2.3,13.2%,39,1083,"$57,000","$6,052",9
Lucindale,SA,5272,https://www.smartpropertyinvestment.com.au/data/sa/5272/lucindale,,,,,"$289,000",,0.00%,,0.00%,,122.31%,,0.00%,,0.00%,,N/A,,N/A,,0.00%,,1262,"$1,337","$1,086",2.3,5.2%,45,780,"$57,800","$5,648",10
Barcaldine,QLD,4725,,,886,"2,000",8.00%,"$290,000",,0.90%,N/A,16.00%,N/A,57.18%,N/A,41.46%,N/A,4.98%,N/A,$340,,78.7 days,78.7 days,6.10%,6.10%,871.7,"$1,250","$1,027",2.5,0.0%,36,607,"$58,000","$5,342",11
Finley,NSW,2713,,,,,,"$291,500",,-8.19%,N/A,-13.37%,N/A,11.05%,N/A,131.26%,N/A,8.46%,N/A,$400,,89.1 days,89.1 days,7.14%,7.14%,993,$967,$835,2.3,4.8%,47,867,"$58,300","$4,340",13
Monto,QLD,4630,,,350,"1,000",3.00%,"$295,000",,5.36%,N/A,40.48%,N/A,73.27%,N/A,247.06%,N/A,12.15%,N/A,N/A,,63 days,63 days,0.00%,0.00%,626,$902,$790,2.2,7.5%,43,650,"$59,000","$4,110",14
Solomontown,SA,5540,https://www.smartpropertyinvestment.com.au/data/sa/5540/solomontown,,,,,"$295,000",,15.91%,,44.61%,,110.71%,,193.53%,,13.15%,,$415,,46.6 days,,7.32%,,893,"$1,127",$944,2.3,25.0%,43,1018,"$59,000","$4,906",12
Dunolly,VIC,3472,,,152,899,1.00%,"$299,000",,0.00%,N/A,-6.56%,N/A,-2.76%,N/A,33.18%,N/A,7.24%,N/A,N/A,,117.5 days,117.5 days,0.00%,0.00%,674,$874,$771,2,,55,811,"$59,800","$4,011",15
Coonabarabran,NSW,2357,,,,,,"$300,000",,4.17%,N/A,0.00%,N/A,20.12%,N/A,84.62%,N/A,5.89%,N/A,$373,,108 days,108 days,6.46%,6.46%,914,$953,$825,2.3,5.3%,49,1000,"$60,000","$4,291",14
Coolah,NSW,2843,,,,,,"$300,000",,-1.64%,N/A,-10.45%,N/A,15.38%,N/A,81.82%,N/A,6.94%,N/A,N/A,,136.4 days,136.4 days,0.00%,0.00%,975,$997,$855,2.4,7.1%,46,925,"$60,000","$4,446",13
St Arnaud,VIC,3478,,,,,,"$300,000",,3.45%,N/A,5.18%,N/A,9.09%,N/A,93.55%,N/A,8.59%,N/A,N/A,,90.8 days,90.8 days,0.00%,0.00%,816,"$1,049",$890,2,12.1%,53,867,"$60,000","$4,630",13
Tully,QLD,4854,,,"1,285","2,000",1.00%,"$300,000",,-4.00%,N/A,7.14%,N/A,33.33%,N/A,57.89%,N/A,5.05%,N/A,N/A,,94 days,94 days,0.00%,0.00%,845.6,"$1,076",$909,2.5,12.1%,36,828,"$60,000","$4,726",13
Lake Cargelligo,NSW,2672,,,,,,"$300,000",,0.00%,N/A,0.00%,N/A,36.36%,N/A,106.90%,N/A,22.84%,N/A,N/A,,N/A,N/A,0.00%,0.00%,1026,"$1,193",$988,2.5,4.8%,37,897,"$60,000","$5,138",12
St George,QLD,4487,,,,,,"$300,000",,9.09%,N/A,17.65%,N/A,9.09%,N/A,0.84%,N/A,2.43%,N/A,$388,,87.5 days,87.5 days,6.72%,6.72%,1016,"$1,203",$995,2.7,,33,999,"$60,000","$5,175",12
Narrogin,WA,6312,https://www.smartpropertyinvestment.com.au/data/wa/6312/narrogin,,,,,"$300,000",,7.14%,,20.00%,,46.34%,,87.50%,,5.37%,,N/A,,32.2 days,,0.00%,,1224,"$1,215","$1,004",2.4,10.9%,40,1213,"$60,000","$5,218",11
Dalwallinu,WA,6609,https://www.smartpropertyinvestment.com.au/data/wa/6609/dalwallinu,,,,,"$300,000",,-3.23%,,1.35%,,20.00%,,30.43%,,12.64%,,N/A,,N/A,,0.00%,,1549,"$1,562","$1,239",2.4,7.2%,36,999,"$60,000","$6,444",9
